ID cluster length robot_feedback previous_score current_score current_result action engagement
user_24/session_1 2 5 0 1 2 1 5 -0.141634401066
user_24/session_1 2 5 2 2 2 1 2 -0.148114143122
user_24/session_1 2 7 0 2 3 1 3 -0.0777818105589
user_24/session_1 2 9 0 3 -4 -1 2 0.0475877351323
user_24/session_1 2 7 0 -4 3 1 5 -0.134149215919
user_24/session_1 2 7 2 3 -3 -1 1 -0.0619694466784
user_24/session_1 2 5 0 -3 2 1 0 -0.170925249067
user_24/session_1 2 3 0 2 1 1 4 -0.157006781422
user_24/session_1 2 3 1 1 1 1 1 -0.124386890837
user_24/session_1 2 5 0 1 2 1 5 -0.041170129605
user_24/session_1 2 5 2 2 2 1 2 -0.176068303898
user_24/session_1 2 7 0 2 3 1 1 -0.04430988024
user_24/session_1 2 5 0 3 2 1 0 -0.0612645637096
user_24/session_1 2 3 0 2 1 1 5 -0.0858547094548
user_24/session_1 2 3 2 1 1 1 2 -0.00435134589239
user_24/session_1 2 7 0 1 3 1 3 -0.150302578922
user_24/session_1 2 9 0 3 -4 -1 4 -0.138963947193
user_24/session_1 2 9 1 -4 4 1 2 -0.0734824038883
user_24/session_1 2 7 0 4 -3 -1 3 0.0125164810308
user_24/session_1 2 9 0 -3 4 1 2 -0.139468262111
user_24/session_1 2 7 0 4 3 1 4 -0.0743336586821
user_24/session_1 2 7 1 3 3 1 1 -0.194165322819
user_24/session_1 2 5 0 3 2 1 -1 0.0444617491296
user_52/session_1 1 7 0 0 3 1 3 -0.110694447332
user_52/session_1 1 9 0 3 -4 -1 5 -0.246260914801
user_52/session_1 1 9 2 -4 -4 -1 3 -0.24298340053
user_52/session_1 1 9 0 -4 -4 -1 1 -0.231675128721
user_52/session_1 1 5 0 -4 -2 -1 0 -0.119716782258
user_52/session_1 1 3 0 -2 1 1 4 -0.141682800907
user_52/session_1 1 3 1 1 1 1 1 -0.0198266946332
user_52/session_1 1 5 0 1 2 1 0 -0.0696468281532
user_52/session_1 1 3 0 2 1 1 4 -0.148308262176
user_52/session_1 1 3 1 1 1 1 1 -0.0837557875916
user_52/session_1 1 5 0 1 2 1 2 -0.0640917809235
user_52/session_1 1 7 0 2 -3 -1 2 -0.156615746304
user_52/session_1 1 7 0 -3 3 1 5 -0.0865539824921
user_52/session_1 1 7 2 3 3 1 1 -0.143510603536
user_52/session_1 1 5 0 3 2 1 2 -0.14991523474
user_52/session_1 1 7 0 2 -3 -1 4 -0.130302475357
user_52/session_1 1 7 1 -3 3 1 3 -0.110281016139
user_52/session_1 1 9 0 3 -4 -1 2 -0.171569528104
user_52/session_1 1 7 0 -4 3 1 5 -0.143920700011
user_52/session_1 1 7 2 3 -3 -1 2 -0.152144809614
user_52/session_1 1 7 0 -3 -3 -1 1 -0.155818657546
