ID cluster length robot_feedback previous_result current_result engagement action
user_24/session_1 2 5 0 0 1 0.2699817263 1
user_24/session_1 2 3 0 2 1 0.4648606167 0
user_24/session_1 2 5 0 1 1 0.2650445367 1
user_24/session_1 2 5 2 2 1 0.2601141951 5
user_24/session_1 2 7 0 2 1 0.3674691889 2
user_24/session_1 2 9 0 3 -1 0.6746961649 3
user_24/session_1 2 7 0 -4 1 0.2809116761 2
user_24/session_1 2 7 2 3 -1 0.4515142872 5
user_24/session_1 2 5 0 -3 1 0.2107729342 1
user_24/session_1 2 3 0 2 1 0.260933919 0
user_24/session_1 2 3 1 1 1 0.3142663577 4
user_24/session_1 2 5 0 1 1 0.4418898197 1
user_24/session_1 2 5 2 2 1 0.2169353921 5
user_24/session_1 2 7 0 2 1 0.4300751752 2
user_24/session_1 2 5 0 3 1 0.4061869329 1
user_24/session_1 2 3 0 2 1 0.3557222006 0
user_24/session_1 2 3 2 1 1 0.5138736917 5
user_24/session_1 2 7 0 1 1 0.2585796148 2
user_24/session_1 2 9 0 3 -1 0.3452828262 3
user_24/session_1 2 9 1 -4 1 0.3792434639 4
user_24/session_1 2 7 0 4 -1 0.6053792804 2
user_24/session_1 2 9 0 -3 1 0.2498532982 3
user_24/session_1 2 7 0 4 1 0.3722641697 2
user_24/session_1 2 7 1 3 1 0.1821428044 4
user_24/session_1 2 5 0 3 1 0.6117012808 1
user_52/session_1 1 7 0 0 1 0.2511178491 2
user_52/session_1 1 9 0 3 -1 0.1097354688 3
user_52/session_1 1 9 2 -4 -1 0.1031302111 5
user_52/session_1 1 9 0 -4 -1 0.1302312121 3
user_52/session_1 1 5 0 -4 -1 0.2934787698 1
user_52/session_1 1 3 0 -2 1 0.2277669873 0
user_52/session_1 1 3 1 1 1 0.4308467164 4
user_52/session_1 1 5 0 1 1 0.3299177935 1
user_52/session_1 1 3 0 2 1 0.2168770715 0
user_52/session_1 1 3 1 1 1 0.3139918788 4
user_52/session_1 1 5 0 1 1 0.3453935977 1
user_52/session_1 1 7 0 2 -1 0.2510730275 2
user_52/session_1 1 7 0 -3 1 0.2938346083 2
user_52/session_1 1 7 2 3 1 0.2073349992 5
user_52/session_1 1 5 0 3 1 0.1973092611 1
user_52/session_1 1 7 0 2 -1 0.302499484 2
user_52/session_1 1 7 1 -3 1 0.2642365297 4
user_52/session_1 1 9 0 3 -1 0.2393634081 3
user_52/session_1 1 7 0 -4 1 0.1970205257 2
user_52/session_1 1 7 2 3 -1 0.2489598642 5
user_52/session_1 1 7 0 -3 -1 0.2457909203 2
user_52/session_1 1 5 0 -3 1 0.2545889944 1
user_52/session_1 1 3 0 2 1 0.2102489613 0
user_52/session_1 1 3 1 1 1 0.2755956284 4
user_52/session_1 1 7 0 1 -1 0.2781206698 2
user_15/session_1 0 5 0 0 1 0.4162625428 1
user_15/session_1 0 3 0 2 1 0.1167089793 0
user_15/session_1 0 5 0 1 1 0.3069993787 1
user_15/session_1 0 5 2 2 1 0.2495365842 5
user_15/session_1 0 7 0 2 1 0.1979794405 2
user_15/session_1 0 9 0 3 -1 0.4004087074 3
user_15/session_1 0 7 0 -4 1 0.563082253 2
user_15/session_1 0 7 2 3 -1 0.417912106 5
user_15/session_1 0 5 0 -3 1 0.2469622444 1
user_15/session_1 0 3 0 2 1 0.2972773564 0
user_15/session_1 0 3 1 1 1 0.4875701454 4
user_15/session_1 0 5 0 1 1 0.3625522661 1
user_15/session_1 0 5 2 2 1 0.2916244942 5
user_15/session_1 0 7 0 2 1 0.3279178167 2
user_15/session_1 0 5 0 3 1 0.6484708438 1
user_15/session_1 0 3 0 2 1 0.3278794803 0
user_15/session_1 0 3 2 1 1 0.3160272585 5
user_15/session_1 0 7 0 1 -1 0.4218404024 2
user_15/session_1 0 9 0 -3 -1 0.4254565593 3
user_15/session_1 0 9 1 -4 -1 0.2444173319 4
user_15/session_1 0 7 0 -4 1 0.2591473279 2
user_15/session_1 0 9 0 3 1 0.3623179612 3
user_15/session_1 0 7 0 4 1 0.3279236743 2
user_15/session_1 0 7 1 3 -1 0.5708722999 4
user_15/session_1 0 5 0 -3 1 0.36963956 1
user_41/session_1 1 7 0 0 -1 0.2731888111 2
user_41/session_1 1 7 0 -3 -1 0.2826661945 2
user_41/session_1 1 7 2 -3 -1 0.3113227914 5
user_41/session_1 1 9 0 -3 -1 0.4392338803 3
user_41/session_1 1 5 0 -4 1 0.4097745276 1
user_41/session_1 1 5 1 2 -1 0.3045726723 4
user_41/session_1 1 5 0 -2 1 0.2675470668 1
user_41/session_1 1 3 0 2 -1 0.5112064656 0
user_41/session_1 1 3 2 -1 1 0.2538685992 5
user_41/session_1 1 9 0 1 -1 0.3482931474 3
user_41/session_1 1 9 1 -4 -1 0.3363236551 4
user_41/session_1 1 7 0 -4 1 0.359078486 2
user_41/session_1 1 5 0 3 1 0.4301307956 1
user_41/session_1 1 3 0 2 1 0.4732176834 0
user_41/session_1 1 3 1 1 1 0.4416861472 4
user_41/session_1 1 5 0 1 1 0.3517286495 1
user_41/session_1 1 5 0 2 1 0.4528601649 1
user_41/session_1 1 9 0 2 1 0.4086417853 3
user_41/session_1 1 9 2 4 -1 0.4256809119 5
user_41/session_1 1 9 0 -4 -1 0.3499470868 3
user_41/session_1 1 5 0 -4 1 0.3206530199 1
user_41/session_1 1 3 0 2 1 0.4003765415 0
user_41/session_1 1 7 0 1 1 0.2567463255 2
user_41/session_1 1 7 0 3 1 0.2249970272 2
user_41/session_1 1 7 1 3 -1 0.2829433979 4
user_22/session_1 0 7 0 0 1 0.4532745435 2
user_22/session_1 0 9 0 3 1 0.3528164322 3
user_22/session_1 0 9 2 4 -1 0.32944995 5
user_22/session_1 0 9 0 -4 -1 0.432313698 3
user_22/session_1 0 5 0 -4 1 0.2546807215 1
